10	2.3	0.71882	0.26515
 2934.27       0	19,28,15,24,25,22,23,5,21,8,13,26,12,27,16,18,20,1,2,11,10,30,3,9,14,6,17,4,29,7	3,3,1,3,0,0,1,0,3,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
  3790.7      38	19,28,24,25,26,12,22,11,8,15,23,5,7,18,20,29,14,13,1,21,10,2,4,9,3,6,16,30,17,27	3,3,1,2,0,0,3,0,3,4,0,0,3,3,0,1,1,1,0,1,0,0,0,0,0,0,4,0,1,0
 3287.22       9	19,28,24,25,26,12,22,5,8,23,2,14,29,1,7,15,4,18,11,20,21,13,10,27,16,30,3,9,6,17	3,3,1,2,0,2,3,0,3,4,0,0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
 3024.56       7	19,28,15,25,24,26,12,22,5,8,23,11,2,14,29,1,7,4,21,20,16,13,9,18,27,10,3,6,30,17	1,3,1,2,0,2,0,0,1,3,0,0,3,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
 3785.25      28	19,28,15,25,26,12,22,24,11,8,23,5,7,18,20,29,14,16,21,27,30,10,13,2,1,4,3,17,9,6	3,3,1,2,0,2,1,0,4,4,0,0,3,3,0,1,0,1,0,1,0,0,0,0,0,0,4,0,0,0
  3491.0      10	19,28,15,25,26,12,22,24,5,8,23,11,2,14,29,1,7,4,21,20,16,13,9,18,27,10,3,6,30,17	1,3,1,2,0,2,0,0,3,4,0,0,3,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
 3166.94       8	19,28,15,25,26,12,22,24,23,5,13,30,3,10,27,9,7,16,21,4,1,11,2,8,6,14,29,20,18,17	1,3,1,1,0,0,2,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 3799.06      45	19,28,24,25,22,12,26,11,8,15,23,5,7,18,20,29,14,13,1,21,10,2,4,9,3,6,16,30,27,17	3,3,1,2,0,0,1,0,3,4,0,0,3,3,0,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0
 3954.71      48	19,28,24,25,26,8,22,11,12,15,23,5,6,18,2,14,7,29,1,4,21,20,13,10,30,16,3,9,17,27	3,3,1,3,0,0,0,1,3,0,0,0,3,3,0,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0
 3548.05      15	19,28,24,25,26,22,12,18,8,23,13,11,5,27,7,21,15,30,14,2,16,20,1,10,3,9,6,29,4,17	3,3,1,2,0,0,1,0,3,4,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0
